SoundEffectName,SoundEffectID,SoundEffectPrefabPath
LightAttackSoundEffect_A,0,SoundEffect/LightAttackSoundEffect_A
LightAttackSoundEffect_B,1,SoundEffect/LightAttackSoundEffect_B
LightAttackSoundEffect_C,2,SoundEffect/LightAttackSoundEffect_C
LightAttackSoundEffect_D,3,SoundEffect/LightAttackSoundEffect_D
AttackChargeSoundEffect,4,SoundEffect/AttackChargeSoundEffect
HeavyAttackSoundEffect,5,SoundEffect/HeavyAttackSoundEffect
ChargeHeavyAttackSoundEffect,6,SoundEffect/ChargeHeavyAttackSoundEffect
AttackHitSoundEffect,7,SoundEffect/AttackHitSoundEffect
DodgeSoundEffect,8,SoundEffect/DodgeSoundEffect
EnterGuardModeSoundEffect,9,SoundEffect/EnterGuardModeSoundEffect
PerfectGuardSoundEffect,10,SoundEffect/PerfectGuardSoundEffect
GuardSuccessSoundEffect,11,SoundEffect/GuardSuccessSoundEffect
MeleeGhost_AttackSoundEffect,12,SoundEffect/MeleeGhost_AttackSoundEffect
RangeGhost_AttackSoundEffect,13,SoundEffect/RangeGhost_AttackSoundEffect
SmashGhost_AttackSoundEffect,14,SoundEffect/SmashGhost_AttackSoundEffect
EliteGhost_CastSoundEffect,15,SoundEffect/EliteGhost_CastSoundEffect
EliteGhost_ExplodeSoundEffect,16,SoundEffect/EliteGhost_ExplodeSoundEffect
EliteGhost_FlashSoundEffect,17,SoundEffect/EliteGhost_FlashSoundEffect
EliteGhost_SmashSoundEffect,18,SoundEffect/EliteGhost_SmashSoundEffect
HellDog_RoarSoundEffect,19,SoundEffect/HellDog_RoarSoundEffect
HellDog_ClawSoundEffect,20,SoundEffect/HellDog_ClawSoundEffect
HellDog_SlapSoundEffect,21,SoundEffect/HellDog_SlapSoundEffect
HellDog_ChargeSprintSoundEffect,22,SoundEffect/HellDog_ChargeSprintSoundEffect
HellDog_ChargeFinishSoundEffect,23,SoundEffect/HellDog_ChargeFinishSoundEffect
HellDog_SprintSoundEffect,24,SoundEffect/HellDog_SprintSoundEffect
HellDog_SpitFireBallSoundEffect,25,SoundEffect/HellDog_SpitFireBallSoundEffect
HellDog_FireballExplodeSoundEffect,26,SoundEffect/HellDog_FireballExplodeSoundEffect
HellDog_JumpUpSoundEffect,27,SoundEffect/HellDog_JumpUpSoundEffect
HellDog_FireExlpotionChargingSoundEffect,28,SoundEffect/HellDog_FireExlpotionChargingSoundEffect
HellDog_FireExlpotionExplodeSoundEffect,29,SoundEffect/HellDog_FireExlpotionExplodeSoundEffect
